index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,dr2_radial_velocity,dr2_radial_velocity_error,e_Gmag,e_BPmag,e_RPmag,bp_rp,hdbscan
40051,344285059484072832,27.63093667089471,0.27420855,40.05516496456124,0.32076412,2.2930980759379227,0.32556206,15.530385,9.842421234972884,0.39989197,-12.013308853270846,0.4268669,319.9886500547224,1.1716965,19.42453,53.910307571694176,7.392216,21.009363,433.3066959222965,8.200118,18.155907,,,0.003975620106590742,0.14887684574825913,0.020547028420454874,2.8534560000000013,268
40053,344285063781485056,27.62902837196969,0.04133075,40.05747876287141,0.042224735,1.863024988495494,0.047939748,15.954101,10.758101364724524,0.0575625,-11.78119600657951,0.055256683,7807.800043597305,5.3408875,15.956045,2452.9488680193654,16.245806,16.86432,8144.046242660039,14.611313,14.970795,,,0.0007426925500026564,0.007190797973672886,0.0019479299417597057,1.8935249999999986,268
41668,342642874444362240,27.23900169041624,0.01917278,37.32173909711639,0.014521203,2.3245114792184944,0.01922423,15.7218275,10.361636251143498,0.023110677,-11.824227393898449,0.01810201,59527.44592865816,17.038094,13.750574,29418.17604535558,44.8819,14.167003,42693.07482746202,39.616684,13.172002,,,0.0003107621237108442,0.0016564556447416856,0.0010074998885672701,0.9950009999999985,268
41702,342643351185889664,26.86136489814916,0.1341827,37.02520397075505,0.12742877,2.3562676094580595,0.1489217,15.770523,10.423938570221262,0.17948976,-11.834310529516284,0.16643173,965.0680100819022,1.8912793,18.225971,181.9239430778292,12.313715,19.688818,1212.3393519567958,10.4627905,17.038836,,,0.002127757202464253,0.07348920633747283,0.009370173813391353,2.6499820000000014,268
45158,342675928513026176,27.502632771305496,0.16554733,37.61728623047535,0.14690457,2.3668641619094357,0.1866528,15.559472,10.543442130875489,0.20091714,-11.442595271224665,0.1930457,187692.13881971303,304.8195,12.503752,223964.61572413144,2059.6453,11.963094,265146.48692331044,497.4548,11.18918,,,0.0017632787880592423,0.0099847534573247,0.0020370048755235116,0.7739139999999995,268
46898,342699877250650368,28.233093622457908,0.017897237,37.40592551330607,0.018646346,2.2321190499526047,0.021124618,15.356395,9.948294080890005,0.022316687,-11.698303010805423,0.023351086,43889.55678049591,15.286005,14.081464,20905.232231762504,44.17722,14.537905,32718.0785824593,49.848255,13.460926,,,0.0003781439201497962,0.0022943924586826298,0.001654194180783317,1.0769789999999997,268
47034,342702827892893824,28.12830647660644,0.0848556,37.424548177565526,0.09308482,2.473143635246779,0.10219717,15.75026,10.15196347220289,0.100857705,-12.04194038323178,0.11940906,2468.011579832202,2.640163,17.2065,649.1017900733099,19.61394,18.30776,2731.904405179527,11.557351,16.156733,,,0.0011614696539461655,0.03280774310227758,0.00459321870414165,2.151026999999999,268
47665,342711353403238144,28.338428701445277,0.022955304,37.58780420652892,0.022866629,2.2293679050569577,0.027327562,15.8700695,10.049172759680443,0.032327034,-12.28304688290928,0.029177638,369248.4947796368,87.47402,11.76907,211154.8260741696,117.67942,12.02704,228429.09630942944,170.59317,11.351017,1.5096551,8.228793,0.00025720811819806037,0.0006050953663927066,0.0008108388289666959,0.6760229999999989,268
47923,342715132974478208,27.953441638221587,0.040959615,37.48689526143381,0.041689683,2.243465497482824,0.049171045,15.582135,9.846160979550133,0.04584324,-12.07708733986203,0.05171302,7268.533402658205,6.696097,16.03375,2178.110357146643,16.13686,16.993343,7604.891996442743,24.591684,15.045163,,,0.0010002285936821153,0.008043840880526006,0.0035109087239188173,1.948179999999999,268
48015,342716919680861568,28.012516392226036,0.023048762,37.55384079789026,0.026288148,2.3088117120048013,0.028453747,15.157095,9.96332059939534,0.030491801,-11.422336543368074,0.034283966,55300.33206378707,12.148686,13.830547,27298.259638450025,36.469486,14.248205,39814.697966789616,22.163523,13.2477865,,,0.00023852059722215933,0.0014505042388617264,0.0006043933666446911,1.0004185000000003,268
48039,342717362062156928,28.05852227959828,0.012287053,37.57553659567463,0.014824326,2.295043715458783,0.014725654,15.138145,9.664598318188208,0.016245307,-11.651566450456286,0.019764591,181124.8582612805,50.9003,12.542421,99808.37150807852,65.80627,12.840625,116649.11213982526,41.180977,12.080692,8.7059355,2.0509734,0.00030511713893699265,0.0007158542791503787,0.0003833006257485844,0.7599329999999984,268
48176,342719634100073984,27.875548911778544,0.014782519,37.59386437680593,0.014696282,2.291722507655276,0.019080553,15.498932,10.051163798893636,0.020002343,-11.79792388015591,0.019338775,5570453.473871778,1070.1614,8.82264,2571665.6469689524,1603.64,9.313006,4275883.133299123,1614.9158,8.170331,5.5716114,0.30261898,0.0002085849890614115,0.0006770436932384575,0.0004100609153793914,1.1426750000000006,268
48521,342725406536211968,28.247904093654657,0.012070878,37.75472215941297,0.013705502,2.311761202534808,0.014753361,15.342771,9.956346120666383,0.013984277,-11.67355103172114,0.016351273,91888.68977527358,129.8189,13.279212,43212.03225413744,250.61295,13.749531,69972.41396739784,294.62842,12.635578,,,0.0015339110845587795,0.006296846942906417,0.004571640799668989,1.1139529999999986,268
